number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
33,0.28385185452782996,2025-08-24 10:09:51,2025-08-24 12:39:45,0 days 02:29:54,88.16488948475407,-0.6160985083376439,43.692030977512154,-0.7620204950750503,21.080092652867457,0.8699950384563763,3.930771934882034,4.338395300041688,0.28385185452782996,0.20067297125657038,0.2913523099055371,0.28385185452782996,3005.8164710399997,2827.1305973799995,3005.8164710399997,3005.8164710399997,2.000701496969178,0.2913523099055371,,,COMPLETE
34,0.34163060978125603,2025-08-24 10:29:34,2025-08-24 11:50:11,0 days 01:20:37,67.24206367399766,-0.4662391529912533,82.48659641852463,-0.7280390893188191,3.721787490386955,0.5031961525288466,3.817236977991668,2.1631780284907816,,0.33891622183054704,,,,3001.6277050266667,,,,0.33891622183054704,0.34163060978125603,,PRUNED
35,0.2327649455065567,2025-08-24 10:41:24,2025-08-24 13:17:34,0 days 02:36:10,67.56580239508935,-0.4631162481936529,73.23894141863886,-0.7745857341203081,3.8142863262663016,0.4692647862361266,3.784331393538771,2.130725349551931,0.2327649455065567,0.30744645261943,0.27394731665469857,0.2327649455065567,3146.1009470299996,3139.3833699699994,3142.5496774966664,3146.1009470299996,1.4815210707821083,0.27394731665469857,,,COMPLETE
36,0.2516310741571368,2025-08-24 10:45:02,2025-08-24 12:03:03,0 days 01:18:01,67.74580837551568,-0.45552778581546627,98.10790987809565,-0.7678023834892691,20.961512336559068,0.3908558921927415,3.7097762664429865,2.9321215499267144,,0.2853902699614887,,,,3208.2283026500004,,,,0.2853902699614887,0.2516310741571368,,PRUNED
37,0.190424922880833,2025-08-24 10:55:43,2025-08-24 13:24:21,0 days 02:28:38,59.31134004322635,-0.43419464857461115,35.42232798830016,-0.7532237004338959,21.024601279987305,0.4475806512368001,3.6969143364133004,2.862277592919079,0.190424922880833,0.19888585644757564,0.2748741689571695,0.190424922880833,3070.968427856667,3005.425007823333,3070.968427856667,3070.968427856667,1.7162467874669673,0.2748741689571695,,,COMPLETE
38,0.69085891163521,2025-08-24 11:43:31,2025-08-24 14:34:21,0 days 02:50:50,59.86870984786012,-0.4669873208030989,91.84328776680923,-0.3165598102980686,21.13834937252832,0.42035260239634303,3.833521659162704,2.7602664037679476,0.69085891163521,0.8483326750139181,0.42126952294798475,0.69085891163521,3234.009859493334,2658.0166912033337,2754.7509563500003,3234.009859493334,1.1029638462085745,0.42126952294798475,,,COMPLETE
39,0.45584250214968364,2025-08-24 11:50:12,2025-08-24 13:06:00,0 days 01:15:48,59.22438758326787,-0.7744176187466217,22.314692424767895,-0.3036792525399984,22.509312692360822,0.42340157475838275,3.605203585178156,2.934627509032583,,0.44110807033468075,,,,1364.5904889233334,,,,0.44110807033468075,0.45584250214968364,,PRUNED
40,0.3735006608470643,2025-08-24 12:03:03,2025-08-24 14:39:13,0 days 02:36:10,56.784557985795345,-0.747534503909649,23.00706784536265,-0.417536808671207,25.338480827247725,0.42924539693991126,4.242560716032543,2.7075397364681213,0.3735006608470643,0.35147065111516335,0.4698398368242991,0.3735006608470643,1517.7200137700002,1508.3147591766667,1508.3147591766667,1517.7200137700002,1.4843470116519366,0.4698398368242991,,,COMPLETE
41,0.689343188320612,2025-08-24 12:39:45,2025-08-24 13:21:15,0 days 00:41:30,88.53964274034568,-0.2211827831706098,23.77823280967624,-0.31565603544663995,25.113802323746498,0.9090395705640217,4.431941506795878,2.736669382300482,,,,,,,,,,0.689343188320612,,,PRUNED
42,0.8349285737881192,2025-08-24 13:06:00,2025-08-24 14:26:49,0 days 01:20:49,86.92336516900077,-0.17860305508808832,24.251578376427045,-0.4986451279978692,24.881821712242264,0.8537486441096067,4.288149763485025,4.243582508538992,,1.5225987665302734,,,,3684.177228983333,,,,0.8349285737881192,,,PRUNED
